cve_id,crate_name,version_range,target_function_paths
RUSTSEC-2018-0021,libpulse-binding,<1.2.1,"libpulse_binding::stream::Stream::get_context,libpulse_binding::stream::Stream::get_format_info"
RUSTSEC-2019-0005,pancurses,>=0,"pancurses::mvprintw,pancurses::printw"
RUSTSEC-2019-0006,ncurses,>=0,"ncurses::instr,ncurses::mvprintw,ncurses::mvwinstr,ncurses::mvwprintw,ncurses::printw"
RUSTSEC-2019-0010,libflate,"<0.1.25, >=0.1.14",libflate::gzip::MultiDecoder::read
RUSTSEC-2019-0013,spin,<0.5.2,spin::RwLock::new
RUSTSEC-2019-0015,compact_arena,<0.4.0,compact_arena::SmallArena::new
RUSTSEC-2019-0017,once_cell,"<1.0.1, >=0.2.5","once_cell::sync::Lazy::deref,once_cell::sync::Lazy::force,once_cell::unsync::Lazy::deref,once_cell::unsync::Lazy::force"
RUSTSEC-2019-0018,renderdoc,<0.5.0,"renderdoc::api::RenderDocV110::trigger_multi_frame_capture,renderdoc::api::RenderDocV120::set_capture_file_comments"
RUSTSEC-2019-0026,sodiumoxide,"<0.2.5, >=0.2.0","sodiumoxide::crypto::generichash::Digest::eq,sodiumoxide::crypto::generichash::Digest::ne"
RUSTSEC-2019-0027,libsecp256k1,<0.3.1,libsecp256k1::Scalar::check_overflow
RUSTSEC-2019-0036,failure,>=0.1.0,failure::Fail::__private_get_type_id__
RUSTSEC-2019-0037,pnet,<0.27.2,pnet::transport::IcmpTransportChannelIterator
RUSTSEC-2020-0007,bitvec,"<0.17.4, >=0.11.0",bitvec::vec::BitVec::into_boxed_bitslice
RUSTSEC-2020-0017,internment,>=0.3.12,internment::ArcIntern::drop
RUSTSEC-2020-0023,rulinalg,>=0.4.0,"rulinalg::matrix::RowMut::raw_slice,rulinalg::matrix::RowMut::raw_slice_mut"
RUSTSEC-2020-0028,rocket,"<0.4.5, >=0.4.0",rocket::local::LocalRequest::clone
RUSTSEC-2020-0068,multihash,<0.11.3,"multihash::digests::MultihashGeneric::from_bytes,multihash::digests::MultihashRefGeneric::from_slice"
RUSTSEC-2020-0070,lock_api,>=0.1.0,"lock_api::MappedMutexGuard,lock_api::MappedRwLockReadGuard,lock_api::MappedRwLockWriteGuard,lock_api::RwLockReadGuard,lock_api::RwLockWriteGuard"
RUSTSEC-2020-0075,branca,<0.10.0,"branca::Branca::decode,branca::decode"
RUSTSEC-2020-0091,arc-swap,<1.1.0,arc_swap::access::MapGuard::deref
RUSTSEC-2020-0093,async-h1,<2.3.0,"async_h1::server::accept,async_h1::server::decode"
RUSTSEC-2020-0100,sys-info,<=0.1.1,sys_info::disk_info
